index,binding,receptor
6,2.446657,Binding FcγRIIIa 158F
6,3.350257,Binding FcγRIIIa 158F
6,2.962326,Binding FcγRIIIa 158F
6,5.467624,Binding FcγRIIIa 158F
6,5.312713,Binding FcγRIIIa 158F
6,2.481165,Binding FcγRIIIa 158F
7,5.55874,Binding FcγRIIIa 158F
7,2.459755,Binding FcγRIIIa 158F
7,2.760793,Binding FcγRIIIa 158F
7,2.740837,Binding FcγRIIIa 158F
7,2.540608,Binding FcγRIIIa 158F
7,2.492233,Binding FcγRIIIa 158F
7,3.763398,Binding FcγRIIIa 158F
8,5.170468,Binding FcγRIIIa 158F
8,1.803431,Binding FcγRIIIa 158F
8,3.332598,Binding FcγRIIIa 158F
8,3.352195,Binding FcγRIIIa 158F
8,4.719027,Binding FcγRIIIa 158F
8,1.888229,Binding FcγRIIIa 158F
9,1.234684,Binding FcγRIIIa 158F
9,1.578549,Binding FcγRIIIa 158F
9,2.2033,Binding FcγRIIIa 158F
9,1.885136,Binding FcγRIIIa 158F
9,2.343188,Binding FcγRIIIa 158F
9,3.371821,Binding FcγRIIIa 158F
9,4.508223,Binding FcγRIIIa 158F
9,1.574268,Binding FcγRIIIa 158F
9,2.839829,Binding FcγRIIIa 158F
10,1.714116,Binding FcγRIIIa 158F
10,1.727735,Binding FcγRIIIa 158F
10,1.522656,Binding FcγRIIIa 158F
10,1.826108,Binding FcγRIIIa 158F
10,1.977707,Binding FcγRIIIa 158F
10,2.98476,Binding FcγRIIIa 158F
11,15.78927,Binding FcγRIIIa 158F
11,23.12277,Binding FcγRIIIa 158F
11,20.45145,Binding FcγRIIIa 158F
11,23.43188,Binding FcγRIIIa 158F
11,14.87828,Binding FcγRIIIa 158F
12,36.38727,Binding FcγRIIIa 158F
12,30.00628,Binding FcγRIIIa 158F
12,29.49656,Binding FcγRIIIa 158F
12,19.07993,Binding FcγRIIIa 158F
13,33.45936,Binding FcγRIIIa 158F
13,34.47785,Binding FcγRIIIa 158F
13,39.98686,Binding FcγRIIIa 158F
13,39.98835,Binding FcγRIIIa 158F
13,40.96173,Binding FcγRIIIa 158F
13,35.38957,Binding FcγRIIIa 158F
13,34.16446,Binding FcγRIIIa 158F
14,32.57567,Binding FcγRIIIa 158F
14,53.25828,Binding FcγRIIIa 158F
14,35.63395,Binding FcγRIIIa 158F
14,42.38518,Binding FcγRIIIa 158F
14,30.42906,Binding FcγRIIIa 158F
14,35.24981,Binding FcγRIIIa 158F
15,34.97179,Binding FcγRIIIa 158F
15,36.50033,Binding FcγRIIIa 158F
15,34.67039,Binding FcγRIIIa 158F
15,38.19592,Binding FcγRIIIa 158F
15,34.70025,Binding FcγRIIIa 158F
16,20.98366,Binding FcγRIIIa 158F
16,21.24561,Binding FcγRIIIa 158F
16,19.07993,Binding FcγRIIIa 158F
17,32.6621,Binding FcγRIIIa 158F
17,30.76507,Binding FcγRIIIa 158F
17,28.05312,Binding FcγRIIIa 158F
18,46.28193,Binding FcγRIIIa 158F
18,41.17176,Binding FcγRIIIa 158F
18,37.84763,Binding FcγRIIIa 158F
19,25.36304,Binding FcγRIIIa 158F
19,37.37706,Binding FcγRIIIa 158F
19,42.43508,Binding FcγRIIIa 158F
19,31.32968,Binding FcγRIIIa 158F
19,34.44466,Binding FcγRIIIa 158F
19,35.08241,Binding FcγRIIIa 158F
19,44.0306,Binding FcγRIIIa 158F
19,40.14516,Binding FcγRIIIa 158F
19,53.60313,Binding FcγRIIIa 158F
20,27.39437,Binding FcγRIIIa 158F
20,29.9189,Binding FcγRIIIa 158F
20,30.94748,Binding FcγRIIIa 158F
20,28.12924,Binding FcγRIIIa 158F
20,28.93013,Binding FcγRIIIa 158F
1,1.682392,Binding FcγRIIIa 158V
1,1.338557,Binding FcγRIIIa 158V
1,1.776517,Binding FcγRIIIa 158V
1,2.740312,Binding FcγRIIIa 158V
1,1.95072,Binding FcγRIIIa 158V
1,2.329092,Binding FcγRIIIa 158V
1,2.347059,Binding FcγRIIIa 158V
1,1.256939,Binding FcγRIIIa 158V
1,1.727869,Binding FcγRIIIa 158V
2,1.263604,Binding FcγRIIIa 158V
2,0.770563,Binding FcγRIIIa 158V
2,0.55371,Binding FcγRIIIa 158V
2,0.870477,Binding FcγRIIIa 158V
2,0.758442,Binding FcγRIIIa 158V
